Institution Name,Repository Base URL,Sets (if selective harvesting)
Chinese University of Hong Kong,https://repository.lib.cuhk.edu.hk/oai2/,"cuhk_chimed,cuhk_ucoracle"
Hong Kong Polytechnic University,https://dc.lib.polyu.edu.hk/catalog/oai,"collection:5m60qs037,collection:6969z0774,collection:pg15bg60h"
Hong Kong University of Science and Technology,https://lbezone.ust.hk/rse/OAI/Server,""
Keio University,https://dcollections.lib.keio.ac.jp/sites/default/oai/oai.php,"ant,ara,buk,fib,fjk,fkz,gsi,gtb,icp,inc,kan,kok,nre,ose,rgs,sgm,spc,tku,tsm"
Lingnan University,https://commons.ln.edu.hk/do/oai/,"publication:cwk_book,publication:lingnan_history_bks,publication:lingnan_class_publication,publication:lu_folk,publication:lingnan_songs_bks,publication:otd,publication:lingnan_milestone_newspapers,publication:luar_pic,publication:sztowai_2,publication:sztowai_1,publication:lingnan_memorabilia,publication:lingnan_trustees_records,publication:lnw_gz,publication:lnw_hk,publication:ljcs_1929,publication:ljcs_new,publication:ljcs_1999,publication:lingnan_newsletter"
National University of Singapore,https://digitalgems.nus.edu.sg/oai,""
Singapore Management University,https://ink.library.smu.edu.sg/do/oai/,"publication:ami,publication:isl_dna,publication:smu_oh,publication:heritage_gallery"
Southern University of Science and Technology,https://media.lib.sustech.edu.cn/oai-pmh/html/index.php,"digital_arch"
Tohoku University,http://www.i-repository.net/il/oai_repository/pmh/G0000398-repository,"G0000398shinsai"
University of California Irvine,https://registry.cdlib.org/oai/15/,""
University of California Los Angeles,https://digital.library.ucla.edu/catalog/oai,"member_of_collection_ids_ssim:13zn9100zz-89112,member_of_collection_ids_ssim:5s113200zz-89112,member_of_collection_ids_ssim:fkbcg200zz-89112,member_of_collection_ids_ssim:p36ch200zz-89112"
University of Hawaii at Manoa,https://digital.library.manoa.hawaii.edu/oai-pmh-repository/request,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,63,64,65,66,67,68,69,72,73,74,75"
University of Hong Kong,https://digitalrepository.lib.hku.hk/catalog/oai,""
University of Sydney,https://digital.library.sydney.edu.au/oaipmh/index/,"6392,6932,7470,11843,13640"
University of Washington,http://cdm16786.contentdm.oclc.org/oai/oai.php,"epic,maps,ohc,p16786coll12,p16786coll15,pacfish,uwb4,uwb2,wwr"
